timestamp,crop_id,soil_type,seedling_stage,moi,temp,humidity,result
2025-09-08 01:30:37.731383296,Wheat,Black Soil,Germination,1,25,80.0,1
2025-09-08 01:32:43.278401024,Wheat,Black Soil,Germination,2,26,77.0,1
2025-09-08 01:55:02.674934784,Wheat,Black Soil,Germination,3,27,74.0,1
2025-09-08 02:12:50.342684416,Wheat,Black Soil,Germination,4,28,71.0,1
2025-09-08 02:21:48.889056768,Wheat,Black Soil,Germination,5,29,68.0,1
2025-09-08 02:26:31.531147264,Wheat,Black Soil,Germination,6,30,65.0,1
2025-09-08 03:01:33.714358016,Wheat,Black Soil,Germination,7,31,62.0,1
2025-09-08 03:26:03.488116224,Wheat,Black Soil,Germination,8,32,59.0,1
2025-09-08 04:13:24.834668800,Wheat,Black Soil,Germination,9,33,56.0,1
2025-09-08 04:30:38.252279808,Wheat,Black Soil,Germination,10,34,53.0,1
2025-09-08 04:34:59.841383680,Wheat,Black Soil,Germination,11,35,50.0,1
2025-09-08 04:48:08.160095232,Wheat,Black Soil,Germination,12,36,47.0,1
2025-09-08 04:50:45.048351744,Wheat,Black Soil,Germination,13,37,44.0,1
2025-09-08 04:51:19.303294208,Wheat,Black Soil,Germination,14,38,41.0,1
2025-09-08 05:34:55.379653632,Wheat,Black Soil,Germination,15,39,38.0,1
2025-09-08 05:47:18.740562944,Wheat,Black Soil,Germination,16,40,35.0,1
2025-09-08 05:58:54.093169408,Wheat,Black Soil,Germination,17,41,32.0,1
2025-09-08 06:12:43.914294272,Wheat,Black Soil,Germination,18,42,29.0,1
2025-09-08 06:20:27.826886400,Wheat,Black Soil,Germination,19,43,26.0,1
2025-09-08 06:44:15.065302784,Wheat,Black Soil,Germination,20,44,23.0,1
2025-09-08 06:44:34.875097088,Wheat,Black Soil,Germination,21,45,20.0,1
2025-09-08 07:29:00.144796160,Wheat,Black Soil,Germination,22,46,17.0,1
2025-09-08 07:50:26.727393792,Wheat,Black Soil,Germination,23,25,80.0,1
2025-09-08 07:55:07.090824704,Wheat,Black Soil,Germination,24,26,77.5,1
2025-09-08 08:06:00.027011840,Wheat,Black Soil,Germination,25,27,75.0,1
2025-09-08 08:22:48.065629184,Wheat,Black Soil,Germination,26,28,72.5,1
2025-09-08 08:37:20.671269120,Wheat,Black Soil,Germination,27,29,70.0,1
2025-09-08 08:48:35.686537984,Wheat,Black Soil,Germination,28,30,67.5,1
2025-09-08 09:10:09.504254976,Wheat,Black Soil,Germination,29,31,65.0,1
2025-09-08 09:29:07.253276416,Wheat,Black Soil,Germination,30,32,62.5,1
2025-09-08 09:32:59.689195776,Wheat,Black Soil,Germination,31,33,60.0,2
2025-09-08 10:01:09.794022912,Wheat,Black Soil,Germination,32,34,57.5,2
2025-09-08 10:01:53.819102720,Wheat,Black Soil,Germination,33,35,55.0,2
2025-09-08 10:12:18.099632384,Wheat,Black Soil,Germination,34,36,52.5,2
2025-09-08 10:12:30.157341184,Wheat,Black Soil,Germination,35,37,50.0,2
2025-09-08 10:15:34.542495232,Wheat,Black Soil,Germination,36,38,47.5,2
2025-09-08 10:15:54.360398080,Wheat,Black Soil,Germination,37,39,45.0,2
2025-09-08 10:48:50.725374208,Wheat,Black Soil,Germination,38,40,42.5,2
